Anoste|protein1773	XP_035912098.1	100	LOC118512157	uncharacterized LOC118512157
Anofun|LOC125765396	XP_049286408.1	100	LOC125765396	uncharacterized LOC125765396
Anogam|LOC133391055	XP_061497114.1	100	LOC133391055	mucin-5AC-like
Anogam|LOC5668054	XP_001689131.2	100	LOC5668054	paramyosin
Anoara|LOC120905629	XP_040172532.1	100	LOC120905629	uncharacterized protein K02A2.6-like
Anogam|LOC133392056	XP_045466713.1	100	LOC123675404	histone H4-like
Anoara|LOC120906952	XP_040174938.1	100	LOC120906952	histone H2B-like
Anofun|LOC125769715	XP_049294481.1	100	LOC125769715	histone H2A-like
Anoara|LOC120901219	XP_040164857.1	100	LOC120901219	putative nuclease HARBI1
Anoalb|LOC118467829	XP_035794613.1	100	LOC118467829	zinc finger protein 208-like
Anoste|protein10307	XP_050079726.1	79.0	LOC126567551	uncharacterized LOC126567551
Anofun|LOC125765618	XP_049286908.1	100	LOC125765618	uncharacterized LOC125765618
Anofun|LOC125774648	XP_049300734.1	100	LOC125774648	putative nuclease HARBI1
Anogam|LOC1279108	XP_061509473.1	100	LOC1279108	putative neural-cadherin 2
Anoste|protein1900	XP_052901402.1	56.5	LOC128307896	uncharacterized LOC128307896
Anogam|LOC4397703	XP_061501717.1	100	LOC4397703	uncharacterized LOC4397703
Anogam|LOC133394925	XP_061519229.1	100	LOC133394925	putative uncharacterized protein DDB_G0288537
Anofun|LOC125774305	XP_049300541.1	100	LOC125774305	uncharacterized LOC125774305
Anofun|LOC125768326	XP_049291730.1	100	LOC125768326	uncharacterized LOC125768326
Anofun|LOC125761143	XP_049277984.1	100	LOC125761143	uncharacterized LOC125761143
Anoalb|LOC118464303	XP_035787484.1	100	LOC118464303	chymotrypsin-like protease CTRL-1
Anofun|LOC125770894	XP_049296912.1	100	LOC125770894	uncharacterized LOC125770894
Anofun|LOC125773067	XP_049300198.1	100	LOC125773067	uncharacterized LOC125773067
Anoste|protein5515	XP_035906547.1	73.2	LOC118509668	zinc finger BED domain-containing protein 1-like
Anogam|LOC3291277	XP_564258.2	100	LOC3291277	uncharacterized LOC3291277
Anoste|protein5813	XP_035911409.1	100	LOC118511889	ficolin-2-like
Anofun|LOC125769008	XP_049293328.1	100	LOC125769008	CD109 antigen-like
Anofun|LOC125767309	XP_049289713.1	100	LOC125767309	histidine-rich glycoprotein-like
Anofun|LOC125772378	XP_049299982.1	100	LOC125772378	uncharacterized LOC125772378
Anoste|protein9908	XP_035907345.1	99.5	LOC118510062	insulin-like growth factor-binding protein complex acid labile subunit
Anofun|LOC125768153	XP_049284822.1	68.3	LOC125764520	uncharacterized LOC125764520
Anofun|LOC125774396	XP_049300581.1	100	LOC125774396	uncharacterized LOC125774396
Anoalb|LOC118463187	XP_035785501.1	100	shg	cadherin EGF LAG seven-pass G-type receptor shotgun
Anoalb|LOC118461299	XP_035782373.1	98.6	LOC118461299	histidine-rich protein PFHRP-II-like
Anofun|LOC125761162	XP_049278018.1	100	LOC125761161	uncharacterized LOC125761161
Anoara|LOC120898323	XP_040159943.1	100	LOC120898323	uncharacterized LOC120898323
Anoara|LOC120901154	XP_040164798.1	100	LOC120901154	uncharacterized LOC120901154
Anoalb|LOC118467650	XP_035794279.1	100	LOC118467650	uncharacterized LOC118467650
Anogam|LOC133391705	XP_061503460.1	100	LOC133391705	histone H1-like
Anoalb|LOC118460879	XP_035781511.1	100	Hsp70a1	Heat shock protein 70 A1
Anofun|LOC125769447	XP_049294138.1	100	LOC125769447	uncharacterized LOC125769447
Anogam|LOC133393483	XP_061514645.1	100	LOC133393483	uncharacterized protein K02A2.6-like
Anofun|LOC125767441	XP_049289993.1	100	LOC125767441	uncharacterized LOC125767441
Anofun|LOC125764548	XP_049284864.1	100	LOC125764548	uncharacterized LOC125764548
Anoalb|LOC118461321	XP_035782418.1	100	LOC118461321	uncharacterized LOC118461321
Anoara|LOC120897664	XP_040158618.1	100	LOC120897664	uncharacterized protein K02A2.6-like
Anogam|LOC4576767	XP_001237146.2	100	LOC4576767	uncharacterized LOC4576767
Anofun|LOC125773559	XP_049300358.1	100	LOC125773559	uncharacterized LOC125773559
Anofun|LOC125769601	XP_049287565.1	98.0	LOC125766030	uncharacterized LOC125766030
Anoara|LOC120908391	XP_040175275.1	100	LOC120908391	casein kinase 1-like protein HD16
Anofun|LOC125762321	XP_049280230.1	100	LOC125762321	uncharacterized LOC125762321
Anogam|LOC4577523	XP_061512629.1	100	LOC4577523	uncharacterized LOC4577523
Anofun|LOC125768862	XP_049293072.1	100	LOC125768862	uncharacterized LOC125768862
Anoara|LOC120905119	XP_040171798.1	100	LOC120905119	uncharacterized LOC120905119
Anoalb|LOC118462491	XP_035784096.1	100	LOC118462491	chymotrypsin-like
Anoste|protein9187	XP_053685994.1	48.7	LOC128735537	transmembrane protease serine 9-like
Anoara|LOC120897039	XP_040157579.1	100	LOC120897039	uncharacterized protein K02A2.6-like
Anofun|LOC125768526	XP_061519240.1	75.7	LOC133395015	uncharacterized LOC133395015
Anogam|LOC5667565	XP_001688325.2	100	LOC5667565	uncharacterized LOC5667565
Anoste|protein10908	XP_035893276.1	100	LOC118503743	uncharacterized LOC118503743
Anoalb|LOC118464663	XP_035788065.1	100	LOC118464663	transcription factor grauzone-like
Anoalb|LOC118460281	XP_035780357.1	100	LOC118460281	uncharacterized LOC118460281
Anoste|protein9549	XP_035915862.1	98.5	LOC118513785	carboxypeptidase B-like
Anogam|LOC133391877	XP_061504439.1	100	LOC133391877	ice-structuring glycoprotein-like
Anoste|protein16294	XP_050079263.1	77.3	LOC126566952	uncharacterized LOC126566952
Anofun|LOC125760945	XP_049277518.1	100	LOC125760945	tigger transposable element-derived protein 2-like
Anogam|LOC133393625	XP_061515266.1	100	LOC133393625	uncharacterized protein K02A2.6-like
Anogam|LOC133391638	XP_061502995.1	100	LOC133391638	uncharacterized LOC133391638
Anogam|LOC133393515	XP_061500403.1	100	LOC133391301	mucin-5AC-like
Anoste|protein7447	XP_035906834.1	100	LOC118509803	uncharacterized LOC118509803
Anofun|LOC125774915	XP_049301242.1	100	LOC125774915	uncharacterized LOC125774915
Anoalb|LOC118464606	XP_035787943.1	100	LOC118464606	uncharacterized LOC118464606
Anogam|LOC1272577	XP_311486.5	100	LOC1272577	histone H1
Anoalb|LOC118464560	XP_035787893.1	100	LOC118464560	mucin-6-like
Anogam|LOC133393149	XP_049464242.1	100	LOC125907220	uncharacterized LOC125907220
Anogam|LOC133393014	XP_040169476.1	100	LOC120903881	uncharacterized LOC120903881
Anofun|LOC125767070	XP_049289277.1	100	LOC125767070	trypsin delta-like
Anofun|LOC125764520	XP_049284822.1	100	LOC125764520	uncharacterized LOC125764520
Anogam|LOC133393972	XP_061500328.1	100	LOC133391298	uncharacterized protein K02A2.6-like
Anoalb|LOC118463808	XP_035786575.1	100	LOC118463807	histone H3-like
Anoalb|LOC118462673	XP_035784465.1	100	BTBD9	BTB (POZ) domain containing 9
Anogam|LOC133393167	XP_061512611.1	100	LOC133393167	uncharacterized LOC133393167
Anogam|LOC3290783	XP_061505120.1	100	Clipb4	CLIP domain-containing serine protease 14D
Anoste|protein5374	XP_035906241.1	100	LOC118509579	antigen 5 like allergen Cul n 1-like
Anofun|LOC125761438	XP_049278532.1	100	LOC125761438	fibroin heavy chain-like
Anofun|LOC125767154	XP_049289418.1	100	LOC125767154	adult-specific cuticular protein ACP-20-like
Anofun|LOC125760456	XP_049276556.1	100	LOC125760456	uncharacterized protein K02A2.6-like
Anogam|LOC11175692	XP_061516406.1	100	LOC11175692	uncharacterized LOC11175692
Anofun|LOC125775178	XP_049301691.1	100	LOC125775178	uncharacterized LOC125775178
Anoalb|LOC118466767	XP_035792386.1	99.8	LOC118466767	CD109 antigen-like
Anoara|LOC120906352	XP_040173879.1	100	LOC120906352	prostaglandin reductase 1-like
Anoste|protein7700	XP_035905716.1	88.1	LOC118509337	vascular endothelial growth factor receptor 1-like
