Anoalb|LOC118464662	GO:0005634(PANTHER)|GO:0010468(PANTHER)
Anoalb|LOC118459197	GO:0005643(PANTHER)|GO:0006405(PANTHER)|GO:0006606(PANTHER)|GO:0008139(PANTHER)|GO:0017056(PANTHER)
Anoalb|LOC118463286	GO:0005198(InterPro)|GO:0005622(PANTHER)|GO:0016010(PANTHER)
Anoste|protein11475	-
Anogam|LOC3291008	GO:0000226(InterPro)|GO:0000281(InterPro)|GO:0000281(PANTHER)|GO:0005730(PANTHER)|GO:0005819(InterPro)|GO:0005874(InterPro)|GO:0007076(PANTHER)|GO:0008017(PANTHER)|GO:0040001(PANTHER)|GO:0040001(InterPro)|GO:0072686(PANTHER)
Anoalb|LOC118463641	GO:0005886(PANTHER)|GO:0007186(PANTHER)|GO:0008528(PANTHER)
Anoalb|LOC118466938	-
Anogam|LOC1281835	-
Anoalb|LOC118456744	GO:0000978(PANTHER)|GO:0000981(PANTHER)|GO:0006357(PANTHER)
Anoste|protein14417	GO:0000502(PANTHER)|GO:0000724(PANTHER)|GO:0006406(InterPro)|GO:0008541(InterPro)|GO:0043248(InterPro)
Anoalb|LOC118457742	GO:0005747(PANTHER)|GO:0006120(PANTHER)
Anoalb|LOC118458294	-
Anogam|LOC4577000	GO:0005886(PANTHER)|GO:0006468(PANTHER)
Anogam|LOC1275614	-
Anoara|LOC120904576	GO:0000266(PANTHER)|GO:0003924(PANTHER)|GO:0005737(PANTHER)|GO:0005739(PANTHER)|GO:0005874(PANTHER)|GO:0006897(PANTHER)|GO:0008017(PANTHER)|GO:0016020(PANTHER)|GO:0016559(PANTHER)|GO:0048312(PANTHER)
Anogam|LOC1280531	-
Anoalb|LOC118463634	-
Anogam|LOC1281094	GO:0005521(PANTHER)|GO:0030473(PANTHER)|GO:0031965(PANTHER)|GO:0051015(PANTHER)
Anoara|LOC120893803	-
Anoalb|LOC118463264	-
Anofun|LOC125769762	-
Anogam|LOC1272997	-
Anogam|LOC1273766	GO:0061631(PANTHER)
Anoalb|LOC118456212	GO:0005096(PANTHER)|GO:0005737(PANTHER)
Anoalb|LOC118460044	-
Anoalb|LOC118457016	GO:0005886(PANTHER)
Anoalb|LOC118463511	-
Anogam|LOC1275761	-
Anofun|LOC125769179	-
Anoste|protein5113	GO:0000055(PANTHER)|GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0043023(PANTHER)|GO:0043023(InterPro)
Anoste|protein14602	GO:0004722(InterPro)
Anoara|LOC120907258	GO:0008234(InterPro)
Anoste|protein2119	GO:0050998(PANTHER)
Anoalb|LOC118465540	-
Anoste|protein11214	GO:0000226(PANTHER)|GO:0004674(PANTHER)|GO:0005737(PANTHER)|GO:0035556(PANTHER)|GO:0050321(PANTHER)
Anoste|protein7607	-
Anoalb|LOC118459955	GO:0005096(PANTHER)|GO:0005737(PANTHER)|GO:0008277(PANTHER)|GO:0008277(InterPro)|GO:0043005(PANTHER)|GO:0043547(PANTHER)
Anogam|LOC3290402	GO:0006123(PANTHER)|GO:0006123(InterPro)
Anogam|LOC4577685	-
Anoalb|LOC118464170	-
Anogam|LOC1277024	-
Anoste|protein16043	GO:0000111(PANTHER)|GO:0003684(PANTHER)|GO:0003684(InterPro)|GO:0003697(PANTHER)|GO:0005634(InterPro)|GO:0005737(PANTHER)|GO:0006289(PANTHER)|GO:0006289(InterPro)|GO:0006298(PANTHER)|GO:0071942(PANTHER)
Anogam|LOC1269342	GO:0003735(InterPro)|GO:0003735(PANTHER)|GO:0005761(InterPro)|GO:0005762(PANTHER)|GO:0006412(InterPro)|GO:0032543(PANTHER)
Anoste|protein5219	GO:0006897(InterPro)|GO:0006897(PANTHER)|GO:0008289(PANTHER)|GO:0015629(PANTHER)|GO:0051666(InterPro)|GO:0051666(PANTHER)|GO:0097320(PANTHER)
Anoalb|LOC118459526	GO:0030544(PANTHER)|GO:0051085(PANTHER)
Anoalb|LOC118463361	-
Anoara|LOC120900462	GO:0000978(PANTHER)|GO:0000981(PANTHER)|GO:0005634(PANTHER)|GO:0005667(PANTHER)|GO:0006357(PANTHER)
Anoalb|LOC118457901	-
Anoste|protein2403	-
Anogam|LOC1281459	-
Anoste|protein3117	GO:0005737(PANTHER)
