Anoste|protein1168	GO:0003713,GO:0000124
Anoalb|LOC118467775	GO:0046935,GO:0005942,GO:0046854
Anofun|LOC125771931	GO:0016020,GO:0005319,GO:0042626,GO:0043231,GO:0055085,GO:0140359,GO:0006869
Anogam|LOC11176031	GO:0000978,GO:0006355,GO:0000981,GO:0008134,GO:0005667,GO:0003700,GO:0006357
Anoalb|LOC118464301	GO:0005886
Anoste|protein7179	GO:0098656,GO:0005741,GO:0008308
Anoalb|LOC118463854	GO:0030513,GO:0036122,GO:0005576
Anogam|LOC1281365	GO:0045505,GO:0003341,GO:0036159,GO:0005737,GO:0036158
Anoste|protein17754	GO:0050660,GO:0016491
Anoste|protein3617	GO:0046855,GO:0008934,GO:0006020,GO:0007165
Anoara|LOC120902426	GO:0035725,GO:0005272,GO:0006814,GO:0016020,GO:0015280,GO:0005886
Anoste|protein15108	GO:0006749,GO:0004364
Anoste|protein13472	GO:0006368,GO:0000993,GO:0008023
Anoalb|LOC118458284	GO:0005886,GO:0007186,GO:0008188,GO:0004930
Anogam|LOC1278155	GO:0006611,GO:1902554,GO:0043539,GO:0032147
Anoalb|LOC118467840	GO:0071013,GO:0061630,GO:0000209
Anoalb|LOC118466713	GO:0008194
Anogam|LOC1271682	GO:0061817,GO:0090158,GO:0033149,GO:0005886,GO:0005789
Anoste|protein13623	GO:0005737
Anoste|protein3738	GO:0005925,GO:0051015
Anoste|protein7847	GO:0005886
Anoste|protein17420	GO:0005324,GO:0042626,GO:0005778,GO:0042760,GO:0006635,GO:0007031,GO:0005524,GO:0015910
Anogam|LOC1279715	GO:0006355,GO:0003712,GO:0003677,GO:0005634,GO:0045893
Anoalb|LOC118463838	GO:0005634,GO:0045892,GO:0003714
Anogam|LOC1275632	GO:0006412,GO:0005840,GO:0005763,GO:0032543,GO:0070181,GO:0003735
Anogam|LOC1273021	GO:0071456,GO:0000981,GO:0000977,GO:0006357
Anoara|LOC120906496	GO:0005615,GO:0016042,GO:0016298
Anoalb|LOC118457961	GO:0038007,GO:0005042,GO:0008045,GO:0016020
Anoalb|LOC118467759	GO:0005741,GO:0016020
Anogam|LOC1273223	GO:0061640,GO:0005869
Anoste|protein12395	GO:0031012,GO:0007155
Anoalb|LOC118461044	GO:0097730,GO:1905515,GO:0060170,GO:0097500
Anoara|LOC120905506	GO:0005777,GO:0043231,GO:0080019,GO:0035336
Anofun|LOC125766875	GO:0051754,GO:0004672,GO:0007094,GO:0005634
Anoste|protein7062	GO:0005262,GO:0032469,GO:0005737,GO:0005789,GO:0006874,GO:0005783
Anoalb|LOC118460671	GO:0005126,GO:0030154,GO:0004715,GO:0005829,GO:0035556,GO:0007259,GO:0019221
Anofun|LOC125770121	GO:0005615,GO:0062023
Anoalb|LOC118466813	GO:0009408,GO:0005737,GO:0051082,GO:0042026,GO:0005634
Anofun|LOC125772178	GO:0000981,GO:0006357,GO:0043565,GO:0005634
Anoalb|LOC118459521	GO:0045944,GO:0010468,GO:0005634
Anoste|protein6327	GO:0006468,GO:0004672,GO:0010906,GO:0004740,GO:0005739
Anoalb|LOC118466365	GO:0050808,GO:0032589
Anoalb|LOC118467883	GO:0044419
Anogam|LOC1280832	GO:0005739
Anofun|LOC125774907	GO:0016020,GO:0042626,GO:0055085
Anoalb|LOC118466098	GO:0000978,GO:0006357,GO:0000981,GO:0005634,GO:0005667
Anoalb|LOC118465730	GO:0016567,GO:0046330,GO:0032436,GO:0061630
Anogam|LOC5666747	GO:0005634,GO:0006355
Anofun|LOC125761234	GO:0036374,GO:0006751,GO:0005886
Anoste|protein16655	GO:0010468,GO:0005634
Anoste|protein13788	GO:0004016,GO:0007168,GO:0006182,GO:0001653,GO:0005886,GO:0004383
Anoste|protein2492	GO:0005635,GO:0006606,GO:0005829
Anogam|LOC11175994	GO:0018158,GO:0120147,GO:0005783
Anogam|LOC1267546	GO:0005829,GO:0003724
Anoara|LOC120895129	GO:0005261,GO:0098655,GO:0030001,GO:0005886
Anofun|LOC125768922	GO:0031012,GO:0005615
Anoalb|LOC118459888	GO:0055085,GO:0016020,GO:0005886,GO:0042626
Anogam|LOC4397850	GO:0020037,GO:0016712,GO:0006805,GO:0043231,GO:0008395,GO:0006082,GO:0005737
Anofun|LOC125763664	GO:0030686,GO:0005634,GO:0030490
Anogam|LOC1274965	GO:0008063,GO:0050830,GO:0070976,GO:0002755,GO:0005886,GO:0043123,GO:0045087,GO:0034142,GO:0035325
Anoalb|LOC118464282	GO:0000408,GO:0005737
Anoalb|LOC118461102	GO:0015031,GO:0005737
Anoara|LOC120900858	GO:0061630,GO:0006511,GO:0016567,GO:0005634
Anogam|LOC1279562	GO:0008080
Anogam|LOC1274200	GO:0005634
Anoalb|LOC118465219	GO:0045893,GO:0016604
