## 1.1.1
## assembly	: /home/STUDENTI/sara.mattiolo/SARA-LAB-GENOMIC/02_KmerBased_genomesurvey/03_GenomeAssembly/02_contaminants/Anoste_pol.fasta
## coverage	 bam0 - /home/STUDENTI/sara.mattiolo/SARA-LAB-GENOMIC/02_KmerBased_genomesurvey/03_GenomeAssembly/02_contaminants/Anoste_pol_sorted.bam
## taxonomy	 tax0 - /home/STUDENTI/sara.mattiolo/SARA-LAB-GENOMIC/02_KmerBased_genomesurvey/03_GenomeAssembly/02_contaminants/Anoste_blast.tsv
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6%s	phylum.s.7%s	phylum.c.8
ctg1	32951834	0.446	0	120.8797	Arthropoda	1931930.0	0
ctg2	20402430	0.4672	0	120.6511	Arthropoda	1574321.0	0
ctg3	27487096	0.4485	0	122.3872	Arthropoda	1978460.0	0
ctg4	24424754	0.4512	0	120.4741	Arthropoda	1286495.0	0
ctg5	16691535	0.4602	0	99.0961	Arthropoda	1614611.0	0
ctg6	5999670	0.4448	0	121.789	Arthropoda	775436.0	0
ctg7	5396928	0.5963	0	330.4976	Pseudomonadota	9244600.0	0
ctg8	24470482	0.4462	0	119.8923	Arthropoda	1621019.0	0
ctg9	8452883	0.4702	0	121.7577	Arthropoda	1131593.0	0
ctg10	9570005	0.445	0	121.5055	Arthropoda	1457096.0	0
ctg11	3623178	0.446	0	122.5523	Arthropoda	736778.0	0
ctg12	3723262	0.4445	0	122.3303	Arthropoda	1049597.0	0
ctg13	2979464	0.4371	0	122.9049	Arthropoda	691913.0	0
ctg14	1797177	0.4347	0	127.3239	Arthropoda	263732.0	0
ctg15	1839382	0.4284	0	123.6784	Arthropoda	544283.0	0
ctg16	3016340	0.4461	0	121.3042	Arthropoda	481711.0	0
ctg17	3236412	0.4399	0	119.7455	Arthropoda	547327.0	0
ctg18	2749672	0.4426	0	124.4739	Arthropoda	757441.0	0
ctg19	1318033	0.409	0	103.4704	Arthropoda	212068.0	0
ctg20	1094664	0.4135	0	104.5496	Arthropoda	212987.0	0
ctg21	748775	0.4376	0	129.53	Arthropoda	191726.0	0
ctg22	598918	0.4459	0	116.0781	Arthropoda	408715.0	0
ctg23	883435	0.441	0	142.0453	Arthropoda	314680.0	0
ctg24	649259	0.4049	0	105.808	Arthropoda	266089.0	0
ctg25	320863	0.4314	0	184.4979	Arthropoda	161565.0	0
ctg27	190878	0.4301	0	95.9318	Arthropoda	138634.0	0
ctg28	185523	0.4489	0	147.042	Arthropoda	172147.0	0
ctg29	295891	0.4178	0	109.7144	Arthropoda	214326.0	0
ctg26	317954	0.445	0	417.1955	Arthropoda	160049.0	0
ctg30	149063	0.4576	0	103.355	Arthropoda	134805.0	0
ctg31	487710	0.4257	0	95.0761	Arthropoda	234716.0	0
ctg32	194530	0.4597	0	171.9216	Arthropoda	224491.0	0
ctg33	129689	0.4596	0	278.546	Arthropoda	116763.0	0
ctg34	70895	0.2868	0	786.643	Arthropoda	86943.0	0
ctg35	117923	0.5386	0	230.8408	Pseudomonadota	552728.0	0
ctg36	180285	0.4819	0	810.8988	Arthropoda	117981.0	0
ctg37	104081	0.4034	0	23.7196	Arthropoda	103568.0	0
ctg38	70675	0.2794	0	133.4644	Arthropoda	112755.0	0
ctg39	105571	0.4349	0	81.5767	Arthropoda	144003.0	0
ctg40	111899	0.5165	0	191.1041	Arthropoda	36101.0	0
